,id,VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
58,64b8150c3f35c83376286f5b,5YJXCBE23K,Kittitas,Ronald,WA,98940,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,13,333271011,POINT (-121.05518019999994 47.255571400000065),PUGET SOUND ENERGY INC,53037975101
59,64b8150c3f35c83376286f5c,5YJ3E1EAXK,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,230784270,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052009
60,64b8150c3f35c83376286f5d,5YJSA1E22H,Walla Walla,College Place,WA,99324,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,16,176192796,POINT (-118.38408999999996 46.04389500000008),PACIFICORP,53071920200
61,64b8150c3f35c83376286f5e,5YJYGDEE6L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,12,118183523,POINT (-120.32009 47.42255000000006),PUD NO 1 OF CHELAN COUNTY,53007960700
62,64b8150c3f35c83376286f5f,1N4AZ1CP7K,Skagit,Burlington,WA,98233,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,10,235660589,POINT (-122.33078999999998 48.47476500000005),PUGET SOUND ENERGY INC,53057951900
63,64b8150c3f35c83376286f60,1N4BZ0CP7H,Snohomish,Bothell,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,186199730,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052107
64,64b8150c3f35c83376286f61,5YJXCDE25G,Douglas,Orondo,WA,98843,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,12,249077650,POINT (-120.19486999999998 47.70421500000003),PUD NO 1 OF DOUGLAS COUNTY,53017950101
65,64b8150c3f35c83376286f62,5YJ3E1EB3J,Snohomish,Snohomish,WA,98296,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,264444624,POINT (-122.15133999999995 47.88511580000005),PUGET SOUND ENERGY INC,53061052119
66,64b8150c3f35c83376286f63,5YJXCBE24H,Island,Freeland,WA,98249,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,10,197947914,POINT (-122.54474499999998 48.03024000000005),PUGET SOUND ENERGY INC,53029971800
67,64b8150c3f35c83376286f64,1G1FW6S07H,Snohomish,Snohomish,WA,98296,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,226016283,POINT (-122.15133999999995 47.88511580000005),PUGET SOUND ENERGY INC,53061052108
